ID,CV
ID1_JL,1
ID2_JL,1
ID3_JL,1
ID4_JL,1
ID5_JL,1
ID6_JL,1
ID7_JL,1
ID8_JL,1
ID9_JL,1
ID10_JL,1
ID11_JL,1
ID12_JL,1
ID13_JL,1
ID14_JL,1
ID15_JL,1
ID16_JL,1
ID17_JL,1
ID18_JL,1
ID19_JL,1
ID20_JL,1
ID21_JL,1
ID22_JL,1
ID23_JL,1
ID24_JL,1
ID25_JL,1
ID26_JL,1
ID27_JL,1
ID28_JL,1
ID29_JL,1
ID30_JL,1
ID1_LN,2
ID2_LN,2
ID3_LN,2
ID4_LN,2
ID5_LN,2
ID6_LN,2
ID7_LN,2
ID8_LN,2
ID9_LN,2
ID10_LN,2
ID11_LN,2
ID12_LN,2
ID13_LN,2
ID14_LN,2
ID15_LN,2
ID16_LN,2
ID17_LN,2
ID18_LN,2
ID19_LN,2
ID20_LN,2
ID21_LN,2
ID22_LN,2
ID23_LN,2
ID24_LN,2
ID25_LN,2
ID26_LN,2
ID27_LN,2
ID28_LN,2
ID29_LN,2
ID30_LN,2
ID1_HeB,3
ID2_HeB,3
ID3_HeB,3
ID4_HeB,3
ID5_HeB,3
ID6_HeB,3
ID7_HeB,3
ID8_HeB,3
ID9_HeB,3
ID10_HeB,3
ID11_HeB,3
ID12_HeB,3
ID13_HeB,3
ID14_HeB,3
ID15_HeB,3
ID16_HeB,3
ID17_HeB,3
ID18_HeB,3
ID19_HeB,3
ID20_HeB,3
ID21_HeB,3
ID22_HeB,3
ID23_HeB,3
ID24_HeB,3
ID25_HeB,3
ID26_HeB,3
ID27_HeB,3
ID28_HeB,3
ID29_HeB,3
ID30_HeB,3
